,品牌,名稱,頻率,記憶體類型,單支容量,雙通道,價格
42,威剛,威剛 32GB,6000,DDR5,32GB,1,2699
43,威剛,威剛 32GB,6000,DDR5,32GB,1,2699
44,威剛,威剛 32GB,6000,DDR5,32GB,1,3359
45,威剛,威剛 32GB,6000,DDR5,32GB,1,3359
46,威剛,威剛 32GB,6000,,32GB,1,3899
47,威剛,威剛 32GB,6000,,32GB,1,3899
48,威剛,威剛 32GB,6000,DDR5,32GB,1,3599
49,威剛,威剛 32GB,6000,DDR5,32GB,1,3599
50,威剛,威剛 32GB,6000,,32GB,1,4099
51,威剛,威剛 32GB,6000,,32GB,1,4099
52,威剛,威剛 32GB,6000,DDR5,32GB,1,3499
53,威剛,威剛 32GB,6000,DDR5,32GB,1,3499
54,威剛,威剛 32GB,6000,DDR5,32GB,1,3699
55,威剛,威剛 32GB,6000,DDR5,32GB,1,3699
56,威剛,威剛 32GB,6000,DDR5,32GB,1,3299
57,威剛,威剛 32GB,6000,,32GB,1,4280
58,威剛,威剛 32GB,6000,,32GB,1,4280
59,威剛,威剛 32GB,6400,DDR5,32GB,1,3799
60,威剛,威剛 32GB,6400,DDR5,32GB,1,3899
61,威剛,威剛 32GB,6400,DDR5,32GB,1,3899
62,威剛,威剛 48GB,6000,DDR5,48GB,1,4759
63,威剛,威剛 48GB,6000,DDR5,48GB,1,4759
64,威剛,威剛 48GB,6400,DDR5,48GB,1,4999
65,威剛,威剛 48GB,6400,DDR5,48GB,1,4999
66,威剛,威剛 64GB,5600,DDR5,64GB,1,4899
67,威剛,威剛 64GB,5600,DDR5,64GB,1,5599
68,威剛,威剛 64GB,6000,DDR5,64GB,1,6489
69,威剛,威剛 64GB,6000,DDR5,64GB,1,6489
70,威剛,威剛 64GB,6000,DDR5,64GB,1,6899
71,威剛,威剛 64GB,6000,DDR5,64GB,1,6899
72,威剛,威剛 64GB,6000,DDR5,64GB,1,6699
73,威剛,威剛 64GB,6000,DDR5,64GB,1,6699
74,威剛,威剛 64GB,5600,DDR5,64GB,1,5999
75,威剛,威剛 64GB,5600,DDR5,64GB,1,5999
76,威剛,威剛 64GB,6000,DDR5,64GB,1,7019
77,威剛,威剛 64GB,6000,DDR5,64GB,1,7019
78,威剛,威剛 64GB,6400,DDR5,64GB,1,7499
79,威剛,威剛 64GB,6400,DDR5,64GB,1,7499
80,威剛,威剛32GB,7200,,32GB,1,4759
81,威剛,威剛32GB,7200,,32GB,1,4759
82,,宏�� Acer Predator Pallas II 32GB,6000,DDR5,32GB,1,2799
83,,宏�� Acer Predator Pallas II 32GB,6000,DDR5,32GB,1,2799
84,,宏�� Acer Predator Pallas II 32GB,6000,DDR5,32GB,1,2990
85,,宏�� Acer Predator Pallas II 32GB,6000,DDR5,32GB,1,2990
86,,宏�� Acer Predator Pallas II 32GB,6400,DDR5,32GB,1,3299
87,,宏�� Acer Predator Pallas II 32GB,6400,DDR5,32GB,1,3299
88,,宏�� Acer HT200 32GB,200,DDR5,32GB,1,2990
89,,宏�� Acer HT200 32GB,200,DDR5,32GB,1,2990
90,,宏�� Acer HT200 64GB,200,DDR5,64GB,1,6350
91,,宏�� Acer HT200 64GB,200,DDR5,64GB,1,6350
92,,宏�� Acer Predator Vesta II RGB 32GB,6000,DDR5,32GB,1,3688
93,,宏�� Acer Predator Vesta II RGB 32GB,6000,DDR5,32GB,1,3688
94,,宏�� Acer Predator Vesta II RGB 32GB,6400,DDR5,32GB,1,3699
95,,宏�� Acer Predator Vesta II RGB 32GB,6400,DDR5,32GB,1,3699
96,,宏�� Acer Predator Vesta II RGB 32GB,6800,DDR5,32GB,1,4099
97,,宏�� Acer Predator Vesta II RGB 32GB,6800,DDR5,32GB,1,4099
98,,宏�� Acer Predator Vesta II RGB 64GB,6000,DDR5,64GB,1,6488
99,,宏�� Acer Predator Vesta II RGB 64GB,6000,DDR5,64GB,1,6488
100,,宏�� Acer Predator Hermes RGB 32GB,6400,DDR5,32GB,1,4099
101,,宏�� Acer Predator Hermes RGB 32GB,6400,DDR5,32GB,1,4099
102,,宏�� Acer Predator Hermes RGB 32GB,6400,DDR5,32GB,1,4099
103,,宏�� Acer Predator Hermes RGB 32GB,6800,DDR5,32GB,1,4599
104,,宏�� Acer Predator Hermes RGB 48GB,6800,DDR5,48GB,1,7199
105,,宏�� Acer Predator Hermes RGB 64GB,6400,,64GB,1,7299
106,,宏�� Acer Predator Hermes RGB 64GB,6400,,64GB,1,7299
107,,宏�� Acer Predator hera RGB 32GB,8000,DDR5,32GB,1,7299
108,,宏�� Acer Predator hera RGB 32GB,8000,DDR5,32GB,1,7299
109,,宏�� Acer Predator hera RGB 48GB,8400,DDR5,48GB,1,8888
110,,宏�� Acer Predator hera RGB 48GB,8400,DDR5,48GB,1,8888
111,KLEVV,KLEVV,6000,DDR5,32GB,1,3399
112,KLEVV,KLEVV,6000,DDR5,32GB,1,3399
113,KLEVV,KLEVV,6000,DDR5,64GB,1,6359
114,KLEVV,KLEVV,6400,DDR5,32GB,1,2999
115,KLEVV,KLEVV,6400,DDR5,32GB,1,3599
116,KLEVV,KLEVV,6400,DDR5,32GB,1,3599
117,KLEVV,KLEVV,6400,DDR5,64GB,1,6799
118,KLEVV,KLEVV,6400,DDR5,64GB,1,6799
119,,❤ 凡購買金士頓FURY DDR5 32G以上的記憶體即送滑鼠墊BOC限量款,,DDR5,32GB,0,
120,金士頓,金士頓 32GB,5600,DDR5,32GB,1,2780
121,金士頓,金士頓 32GB,5600,DDR5,32GB,1,2780
122,金士頓,金士頓 32GB,5600,DDR5,32GB,1,3100
123,金士頓,金士頓 32GB,5600,DDR5,32GB,1,3100
124,金士頓,金士頓 32GB,6000,DDR5,32GB,1,3288
125,金士頓,金士頓 32GB,6000,DDR5,32GB,1,3288
126,金士頓,金士頓 32GB,6000,DDR5,32GB,1,3688
127,金士頓,金士頓 32GB,6400,DDR5,32GB,1,3980
128,金士頓,金士頓 32GB,6400,DDR5,32GB,1,3980
129,金士頓,金士頓 32GB,6400,DDR5,32GB,1,4150
130,金士頓,金士頓 32GB,6400,DDR5,32GB,1,4150
131,金士頓,金士頓 64GB,5600,DDR5,64GB,1,5250
132,金士頓,金士頓 64GB,5600,DDR5,64GB,1,5250
133,金士頓,金士頓 64GB,6000,DDR5,64GB,1,6350
134,金士頓,金士頓 64GB,6000,DDR5,64GB,1,6350
135,金士頓,金士頓 64GB,6000,DDR5,64GB,1,6500
136,金士頓,金士頓 64GB,6000,DDR5,64GB,1,6500
137,金士頓,金士頓 64GB,6400,DDR5,64GB,1,6950
138,金士頓,金士頓 64GB,6400,DDR5,64GB,1,6950
139,金士頓,金士頓 64GB,6400,DDR5,64GB,1,7780
140,金士頓,金士頓 64GB,6400,DDR5,64GB,1,7780
141,金士頓,金士頓 32GB,6400,DDR5,32GB,1,4690
142,金士頓,金士頓 32GB,7200,DDR5,32GB,1,6500
143,金士頓,金士頓 32GB,7200,DDR5,32GB,1,6500
144,十銓,十銓ELITE 32GB,5600,DDR5,32GB,1,2599
145,十銓,十銓 T-Force Vulcan ECO火神散熱片 32GB,6000,,32GB,1,3399
146,十銓,十銓T-Force Delta 炫光RGB系列 32GB,6000,,32GB,1,3299
147,十銓,十銓T-Force Delta 炫光RGB系列 32GB,6000,,32GB,1,3599
148,十銓,十銓T-Force Delta 炫光RGB系列 32GB,6000,,32GB,1,3599
149,十銓,十銓T-Force Delta 炫光RGB系列 64GB,6000,,64GB,1,5799
150,十銓,十銓 T-CREATE EXPERT 32GB,6000,,32GB,1,3299
151,十銓,十銓 T-CREATE EXPERT 32GB,6000,,32GB,1,3299
152,十銓,十銓T-Force Delta 炫光RGB系列 32GB,6400,DDR5,32GB,1,3799
153,十銓,十銓T-Force Delta 炫光RGB系列 32GB,6400,DDR5,32GB,1,3799
154,十銓,十銓T-Force Delta 炫光RGB系列 32GB,7200,DDR5,32GB,1,4099
155,十銓,十銓T-Force Delta 炫光RGB系列 32GB,7200,DDR5,32GB,1,4099
156,十銓,十銓T-CREATE EXPERT 引領者32GB,6400,,32GB,1,3599
157,十銓,十銓T-CREATE EXPERT 引領者32GB,6400,,32GB,1,3599
158,十銓,十銓T-CREATE EXPERT 引領者48GB,6400,,48GB,1,4999
159,十銓,十銓T-CREATE EXPERT 引領者48GB,6400,,48GB,1,4999
160,,❤ 【活動】買T-FORCE XTREEM系列就送時尚休閒後背包,,,,0,
161,十銓,十銓XTREEM 玄鏡散熱片 32GB,7200,DDR5,32GB,1,4299
162,十銓,十銓XTREEM 玄鏡散熱片 32GB,7200,DDR5,32GB,1,4299
163,十銓,十銓XTREEM 玄鏡散熱片 32GB,7200,DDR5,32GB,1,4299
164,十銓,十銓XTREEM ARGB幻鏡炫彩 32GB,7200,DDR5,32GB,1,4399
165,十銓,十銓XTREEM ARGB幻鏡炫彩 32GB,7200,DDR5,32GB,1,4399
166,美光,美光Micron Crucial 64GB,4800,DDR5,64GB,1,4799
167,美光,美光Micron Crucial 32GB,5600,DDR5,32GB,1,2399
168,美光,美光Micron Crucial 64GB,5600,DDR5,64GB,1,4799
169,美光,美光Micron Crucial 128GB,128,DDR5,128GB,1,9999
170,美光,美光Micron Crucial PRO 超頻 32GB,5600,DDR5,32GB,1,2399
171,美光,美光Micron Crucial PRO 超頻 64GB,5600,DDR5,64GB,1,4799
172,美光,美光Micron Crucial PRO 超頻 96GB,5600,DDR5,96GB,1,7188
173,美光,美光Micron Crucial PRO 超頻 32GB,6000,,32GB,1,2499
174,美光,美光Micron Crucial PRO 超頻 32GB,6000,,32GB,1,2499
175,美光,美光Micron Crucial PRO 超頻 64GB,6000,,64GB,1,4999
176,美光,美光Micron Crucial PRO 超頻 64GB,6000,,64GB,1,4999
177,美光,美光Micron Crucial PRO 超頻 32GB,6400,,32GB,1,2699
178,美光,美光Micron Crucial PRO 超頻 32GB,6400,,32GB,1,2699
179,美光,美光Micron Crucial PRO 超頻 64GB,6400,,64GB,1,5399
180,美光,美光Micron Crucial PRO 超頻 64GB,6400,,64GB,1,5399
181,海盜船,海盜船VENGEANCE 32G,6000,,32GB,1,2990
182,海盜船,海盜船VENGEANCE 32G,6000,,32GB,1,3490
183,海盜船,海盜船VENGEANCE 32G,6000,,32GB,1,3190
184,海盜船,海盜船VENGEANCE 32G,6400,,32GB,1,3190
185,海盜船,海盜船VENGEANCE 32G,6400,,32GB,1,3390
186,海盜船,海盜船VENGEANCE 32G,6400,,32GB,1,3499
187,海盜船,海盜船VENGEANCE 32G,6400,,32GB,1,3649
188,海盜船,海盜船DOMINATOR TITANIUM 32G,7200,,32GB,1,5999
189,海盜船,海盜船DOMINATOR TITANIUM 32G,7200,,32GB,1,5999
190,芝奇,芝奇Ripjaws S5焰刃32GB,6000,,32GB,1,2990
191,芝奇,芝奇Ripjaws S5焰刃32GB,6000,,32GB,1,3700
192,芝奇,芝奇Ripjaws S5焰刃64GB,6000,,64GB,1,5490
193,芝奇,芝奇Ripjaws S5焰刃64GB,6000,,64GB,1,6550
194,芝奇,芝奇Ripjaws S5焰刃64GB,6000,,64GB,1,6550
195,芝奇,芝奇Ripjaws S5焰刃96GB,6000,,96GB,1,9600
196,芝奇,芝奇RipjawsM5 RGB焰刃32GB,6000,,32GB,1,3250
197,芝奇,芝奇RipjawsM5 RGB焰刃32GB,6000,,32GB,1,3250
198,芝奇,芝奇RipjawsM5 RGB焰刃32GB,6000,,32GB,1,2990
199,芝奇,芝奇RipjawsM5 RGB焰刃32GB,6000,,32GB,1,2990
200,芝奇,芝奇RipjawsM5 RGB焰刃32GB,6000,,32GB,1,3800
201,芝奇,芝奇RipjawsM5 RGB焰刃32GB,6000,,32GB,1,3800
202,芝奇,芝奇RipjawsM5 RGB焰刃96GB,6000,,96GB,1,9990
203,芝奇,芝奇RipjawsM5 RGB焰刃96GB,6000,,96GB,1,9990
204,芝奇,芝奇 烈焰槍RGB 64GB,6000,,64GB,1,5890
205,芝奇,芝奇 烈焰槍RGB 64GB,6000,,64GB,1,5890
206,芝奇,芝奇 烈焰槍RGB 96GB,6000,,96GB,1,8990
207,芝奇,芝奇 烈焰槍RGB 96GB,6000,,96GB,1,8990
208,芝奇,芝奇 幻鋒戟RGB 32GB,6000,,32GB,1,3900
209,芝奇,芝奇 幻鋒戟RGB 32GB,6000,,32GB,1,3900
210,芝奇,芝奇 幻鋒戟RGB 32GB,6400,,32GB,1,4190
211,芝奇,芝奇 幻鋒戟RGB 32GB,6400,,32GB,1,4190
212,芝奇,芝奇 幻鋒戟RGB 32GB,7200,,32GB,1,4700
213,芝奇,芝奇 幻鋒戟RGB 32GB,7200,,32GB,1,4700
214,芝奇,芝奇 幻鋒戟RGB 48GB,8000,,48GB,1,7500
215,芝奇,芝奇 幻鋒戟RGB 48GB,8000,,48GB,1,7500
216,芝奇,芝奇 幻鋒戟RGB 64GB,6000,,64GB,1,6990
217,芝奇,芝奇 幻鋒戟RGB 64GB,6000,,64GB,1,6990
218,芝奇,芝奇 幻鋒戟RGB 64GB,6400,,64GB,1,7350
219,芝奇,芝奇 幻鋒戟RGB 64GB,6400,,64GB,1,7350
220,芝奇,芝奇 焰鋒戟RGB,6000,,16GB,1,4090
221,芝奇,芝奇 焰鋒戟RGB,6000,,32GB,1,7590
222,芝奇,芝奇 焰鋒戟RGB,6400,,16GB,1,4700
223,芝奇,芝奇 焰鋒戟RGB,6400,,16GB,1,4700
224,芝奇,芝奇 焰鋒戟RGB,7200,,16GB,1,4880
225,芝奇,芝奇 焰鋒戟RGB,7200,,16GB,1,4880
226,芝奇,芝奇 焰鋒戟RGB,8000,,24GB,1,7850
227,芝奇,芝奇 皇家戟RGB,6000,,16GB,1,5200
228,芝奇,芝奇 皇家戟RGB,6000,,16GB,1,6200
229,芝奇,芝奇 皇家戟RGB,6000,,32GB,1,9100
230,芝奇,芝奇 皇家戟RGB,6000,,48GB,1,10890
231,芝奇,芝奇 皇家戟RGB,6400,,16GB,1,5150
232,芝奇,芝奇 皇家戟RGB,6400,,16GB,1,5950
233,芝奇,芝奇 皇家戟RGB,8000,,16GB,1,6100
234,芝奇,芝奇 皇家戟RGB,8000,,16GB,1,7100
235,芝奇,芝奇 皇家戟RGB,8000,,24GB,1,8300
236,芝奇,芝奇 皇家戟RGB,6000,,16GB,1,5200
237,芝奇,芝奇 皇家戟RGB,6400,,16GB,1,4750
238,芝奇,芝奇 皇家戟RGB,7200,,16GB,1,5300
239,芝奇,芝奇 皇家戟RGB,7200,,16GB,1,5690
240,芝奇,芝奇 皇家戟RGB,6000,,32GB,1,9200
241,芝奇,芝奇 皇家戟RGB,6400,,32GB,1,8590
242,芝奇,芝奇 皇家戟RGB,8000,,24GB,1,8200
243,芝奇,芝奇 皇家戟RGB,8000,,24GB,1,8900
244,,UMAX NB 8GB DDR5 4800/CL40,4800,DDR5,8GB,0,639
245,,UMAX NB 16GB DDR5 4800/CL40,4800,DDR5,16GB,0,1159
246,,UMAX NB 32GB DDR5 4800/CL40,4800,DDR5,32GB,0,2259
247,,UMAX NB 8GB DDR5 5600/CL46,5600,DDR5,8GB,0,649
248,,UMAX NB 16GB DDR5 5600/CL46,5600,DDR5,16GB,0,1169
249,,UMAX NB 32GB DDR5 5600/CL46,5600,DDR5,32GB,0,2299
250,威剛,威剛 NB 8GB DDR5 4800,4800,DDR5,8GB,0,729
251,威剛,威剛 NB 16GB DDR5 4800,4800,DDR5,16GB,0,1199
252,威剛,威剛 NB 32GB DDR5-4800/CL40,4800,DDR5,32GB,0,2299
253,威剛,威剛 NB 8GB DDR5-5600/CL46,5600,DDR5,8GB,0,829
254,威剛,威剛 NB 16GB DDR5-5600/CL46,5600,DDR5,16GB,0,1299
255,威剛,威剛 NB 32GB DDR5-5600/CL46,5600,DDR5,32GB,0,2499
256,金士頓,金士頓 NB 16GB DDR5 5600,5600,DDR5,16GB,0,1300
257,金士頓,金士頓 NB 32GB DDR5 5600,5600,DDR5,32GB,0,2500
258,美光,美光Micron Crucial NB 8GB DDR5 4800/CL40,4800,DDR5,8GB,0,699
259,美光,美光Micron Crucial NB 16GB DDR5 5600/CL46,5600,DDR5,16GB,0,1199
260,美光,美光Micron Crucial NB 32GB DDR5 5600/CL46,5600,DDR5,32GB,0,2399
261,美光,美光Micron Crucial NB 64GB DDR5 5600/CL46,5600,DDR5,64GB,0,4999
262,美光,美光Micron Crucial NB 雙通16G*2 DDR5 5600/CL46,5600,DDR5,16GB,1,2399
263,美光,美光Micron Crucial NB 雙通32G*2 DDR5 5600/CL46,5600,DDR5,32GB,1,4799
264,美光,美光Micron Crucial NB 雙通64G*2 DDR5 5600/CL46,5600,DDR5,64GB,1,9999
265,,UMAX 8GB DDR4-2400,2400,DDR4,8GB,0,399
266,,UMAX 8GB DDR4-2666原生顆粒製,2666,DDR4,8GB,0,399
267,,UMAX 8GB DDR4-3200,3200,DDR4,8GB,0,399
268,,UMAX 16GB DDR4-2400,2400,DDR4,16GB,0,749
269,,UMAX 16GB DDR4-2666原生顆粒製,2666,DDR4,16GB,0,749
270,,UMAX 16GB DDR4-2666原生顆粒製,2666,DDR4,16GB,0,749
271,,UMAX 16GB DDR4-3200,3200,DDR4,16GB,0,639
272,,UMAX 16GB DDR4-3200原生顆粒製,3200,DDR4,16GB,0,799
273,,UMAX 32GB DDR4-3200原生顆粒製,3200,DDR4,32GB,0,1459
274,威剛,威剛 8GB DDR4-3200,3200,DDR4,8GB,0,499
275,威剛,威剛 8GB DDR4-3200 XPG D10超頻CL16,3200,DDR4,8GB,0,529
276,威剛,威剛 16GB DDR4-3200,3200,DDR4,16GB,0,899
277,威剛,威剛 16GB DDR4-3200 XPG D10超頻CL16,3200,DDR4,16GB,0,949
278,威剛,威剛 32GB DDR4-3200,3200,DDR4,32GB,0,1699
279,十銓,十銓ELITE 16GB DDR4-3200,3200,DDR4,16GB,0,859
280,KLEVV,KLEVV,3200,DDR4,16GB,0,770
281,KLEVV,KLEVV,3200,DDR4,32GB,0,1499
282,KLEVV,KLEVV,3200,DDR4,16GB,1,950
283,KLEVV,KLEVV,3200,DDR4,32GB,1,1799
284,金士頓,金士頓 8GB DDR4-3200 FURY Beast,3200,DDR4,8GB,0,540
285,金士頓,金士頓 16GB DDR4-3200,3200,DDR4,16GB,0,890
286,金士頓,金士頓 16GB DDR4-3200 FURY Beast,3200,DDR4,16GB,0,950
287,金士頓,金士頓 32GB DDR4-3200,3200,DDR4,32GB,0,1650
288,金士頓,金士頓 32GB DDR4-3200 FURY Beast,3200,DDR4,32GB,0,1700
289,金士頓,金士頓 32GB DDR4-3600 FURY Beast,3600,DDR4,32GB,0,1900
290,美光,美光 Micron Crucial 8GB DDR4-3200,3200,DDR4,8GB,0,499
291,美光,美光 Micron Crucial 16GB DDR4-3200,3200,DDR4,16GB,0,880
292,美光,美光 Micron Crucial 32GB DDR4-3200,3200,DDR4,32GB,0,1599
293,,UMAX 16GB,2666,DDR4,16GB,1,940
294,,UMAX 16GB,3200,DDR4,16GB,1,970
295,,UMAX 32GB,2666,DDR4,32GB,1,1499
296,,UMAX 32GB,2666,DDR4,32GB,1,1499
297,,UMAX 32GB,3200,DDR4,32GB,1,1399
298,,UMAX 32GB,3200,DDR4,32GB,1,1499
299,,UMAX 64GB,3200,DDR4,64GB,1,2999
300,威剛,威剛 16GB,3200,,16GB,1,1058
301,威剛,威剛 32GB,3200,,32GB,1,1898
302,威剛,威剛 32GB,3600,,32GB,1,1999
303,威剛,威剛 16GB,3200,,16GB,1,1299
304,威剛,威剛 16GB,3200,,16GB,1,1299
305,威剛,威剛 16GB,3600,,16GB,1,1399
306,威剛,威剛 32GB,3200,,32GB,1,2249
307,威剛,威剛 32GB,3200,,32GB,1,2249
308,威剛,威剛 32GB,3600,,32GB,1,2349
309,威剛,威剛 32GB,3600,,32GB,1,2349
310,金士頓,金士頓 16GB,3200,DDR4,16GB,1,1050
311,金士頓,金士頓 16GB,3200,DDR4,16GB,1,1288
312,金士頓,金士頓 16GB,3600,DDR4,16GB,1,1130
313,金士頓,金士頓 32GB,3200,DDR4,32GB,1,1900
314,金士頓,金士頓 32GB,3200,DDR4,32GB,1,2250
315,金士頓,金士頓 32GB,3600,DDR4,32GB,1,1990
316,金士頓,金士頓 32GB,3600,DDR4,32GB,1,2400
317,金士頓,金士頓 64GB,3200,DDR4,64GB,1,3588
318,十銓,十銓 T-Create Expert 引領者散熱片系列 16GB,3200,DDR4,16GB,1,999
319,十銓,十銓 T-Create Expert 引領者散熱片系列 16GB,3600,DDR4,16GB,1,1049
320,十銓,十銓 T-Create Expert 引領者散熱片系列 32GB,3200,DDR4,32GB,1,1888
321,十銓,十銓 T-Create Expert 引領者散熱片系列 32GB,3600,DDR4,32GB,1,1999
322,十銓,十銓 T-Create Expert 引領者散熱片系列 64GB,3200,DDR4,64GB,1,3699
323,十銓,十銓 T-Create Expert 引領者散熱片系列 64GB,3600,DDR4,64GB,1,3799
324,十銓,十銓 T-Force Delta 炫光RGB系列 16GB,3200,DDR4,16GB,1,1169
325,十銓,十銓 T-Force Delta 炫光RGB系列 16GB,3200,DDR4,16GB,1,1169
326,十銓,十銓 T-Force Delta 炫光RGB系列 16GB,3600,DDR4,16GB,1,1199
327,十銓,十銓 T-Force Delta 炫光RGB系列 16GB,3600,DDR4,16GB,1,1199
328,十銓,十銓 T-Force Delta 炫光RGB系列 32GB,3200,DDR4,32GB,1,1899
329,十銓,十銓 T-Force Delta 炫光RGB系列 32GB,3200,DDR4,32GB,1,1899
330,十銓,十銓 T-Force Delta 炫光RGB系列 32GB,3600,DDR4,32GB,1,1999
331,十銓,十銓 T-Force Delta 炫光RGB系列 64GB,3200,DDR4,64GB,1,3599
332,芝奇,芝奇 G.SKILL Ripjaws V 32GB,3600,,32GB,1,1770
333,芝奇,芝奇 G.SKILL Ripjaws V 32GB,4000,,32GB,1,2190
334,芝奇,芝奇 G.SKILL Ripjaws V 64GB,3200,,64GB,1,4990
335,芝奇,芝奇 G.SKILL 幻光戟 16GB,3200,,16GB,1,1390
336,芝奇,芝奇 G.SKILL 幻光戟 32GB,3200,,32GB,1,2190
337,芝奇,芝奇 G.SKILL 幻光戟 32GB,3600,,32GB,1,2790
338,芝奇,芝奇 G.SKILL 幻光戟 32GB,4000,,32GB,1,2690
339,芝奇,芝奇 G.SKILL 幻光戟 64GB,3200,,64GB,1,4380
340,芝奇,芝奇 G.SKILL 皇家戟 32GB,3200,,32GB,1,2990
341,芝奇,芝奇 G.SKILL 皇家戟 64GB,3200,,64GB,1,5090
342,芝奇,芝奇 G.SKILL 焰光戟 32GB,3200,,32GB,1,2290
343,芝奇,芝奇 G.SKILL 焰光戟 32GB,3600,,32GB,1,2990
344,芝奇,芝奇 G.SKILL 燄光戟 32GB,4000,,32GB,1,2790
345,芝奇,芝奇 G.SKILL 焰光戟 64GB,3600,,64GB,1,4550
346,美光,美光 Micron Crucial 32GB,3200,DDR4,32GB,1,1599
347,芝奇,芝奇G.SKILL 幻光戟 128GB,128,,128GB,0,8950
348,,UMAX NB 8GB DDR4-2400,2400,DDR4,8GB,0,419
349,,UMAX NB 8GB DDR4-2666,2666,DDR4,8GB,0,429
350,,UMAX NB 8GB DDR4-3200,3200,DDR4,8GB,0,439
351,,UMAX NB 16GB DDR4-2400,2400,DDR4,16GB,0,749
352,,UMAX NB 16GB DDR4-2666,2666,DDR4,16GB,0,759
353,,UMAX NB 16GB DDR4-2666,2666,DDR4,16GB,0,759
354,,UMAX NB 16GB DDR4-3200,3200,DDR4,16GB,0,769
355,,UMAX NB 16GB DDR4-3200,3200,DDR4,16GB,0,799
356,,UMAX NB 32GB DDR4-3200,3200,DDR4,32GB,0,1499
357,威剛,威剛 NB 8GB DDR4-3200,3200,DDR4,8GB,0,499
358,威剛,威剛 NB 16GB DDR4-3200,3200,DDR4,16GB,0,899
359,金士頓,金士頓 NB 8GB DDR4-3200,3200,DDR4,8GB,0,488
360,金士頓,金士頓 NB 16GB DDR4-3200,3200,DDR4,16GB,0,890
361,金士頓,金士頓 NB 32GB D4-3200,3200,,32GB,0,1750
362,美光,美光 NB 8GB DDR4-3200,3200,DDR4,8GB,0,495
363,美光,美光 NB 16GB DDR4-3200,3200,DDR4,16GB,0,888
