id,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD)
3802,Intel Xeon E5-2620 v3 @ 2.40GHz,"7,782",1570,268.34,$29.00
3803,Intel Xeon E5-2620 v4 @ 2.10GHz,"9,283",1420,168.79,$55.00
3804,Intel Xeon E5-2623 v3 @ 3.00GHz,"6,701",1746,27.46,$244.00
3805,Intel Xeon E5-2623 v4 @ 2.60GHz,"6,940",1706,NA,NA
3806,Intel Xeon E5-2628 v3 @ 2.50GHz,"8,447",1492,168.97,$49.99*
3807,Intel Xeon E5-2628L v2 @ 1.90GHz,"7,181",1664,NA,NA
3808,Intel Xeon E5-2628L v3 @ 2.00GHz,"9,949",1360,NA,NA
3809,Intel Xeon E5-2628L v4 @ 1.90GHz,"11,079",1283,20.94,$529.18*
3810,Intel Xeon E5-2629 v3 @ 2.40GHz,"9,139",1435,18.28,$499.88*
3811,Intel Xeon E5-2630 @ 2.30GHz,"6,073",1871,NA,NA
3812,Intel Xeon E5-2630 v2 @ 2.60GHz,"7,460",1615,15.26,$488.88
3813,Intel Xeon E5-2630 v3 @ 2.40GHz,"10,311",1334,22.46,$459.00
3814,Intel Xeon E5-2630 v4 @ 2.20GHz,"11,507",1257,105.57,$109.00
3815,Intel Xeon E5-2630L @ 2.00GHz,"5,305",2040,102.37,$51.82*
3816,Intel Xeon E5-2630L v2 @ 2.40GHz,"6,640",1755,79.94,$83.06*
3817,Intel Xeon E5-2630L v3 @ 1.80GHz,"8,661",1472,57.76,$149.95*
3818,Intel Xeon E5-2630L v4 @ 1.80GHz,"9,972",1356,117.32,$85.00
3819,Intel Xeon E5-2637 @ 3.00GHz,"2,978",2697,37.69,$79.00*
3820,Intel Xeon E5-2637 v2 @ 3.50GHz,"6,470",1787,49.79,$129.95
3821,Intel Xeon E5-2637 v3 @ 3.50GHz,"7,281",1645,31.66,$229.95
3822,Intel Xeon E5-2637 v4 @ 3.50GHz,"7,494",1611,65.16,$115.00
3823,Intel Xeon E5-2640 @ 2.50GHz,"6,286",1827,48.37,$129.95*
3824,Intel Xeon E5-2640 v2 @ 2.00GHz,"7,601",1592,116.94,$65.00
3825,Intel Xeon E5-2640 v3 @ 2.60GHz,"11,057",1285,58.21,$189.95*
3826,Intel Xeon E5-2640 v4 @ 2.40GHz,"12,490",1199,313.04,$39.90*
3827,Intel Xeon E5-2643 @ 3.30GHz,"5,217",2060,2.84,"$1,837.00*"
3828,Intel Xeon E5-2643 v2 @ 3.50GHz,"9,198",1430,46.23,$198.95*
3829,Intel Xeon E5-2643 v3 @ 3.40GHz,"10,432",1323,45.36,$229.95
3830,Intel Xeon E5-2643 v4 @ 3.40GHz,"11,105",1281,12.33,$900.99
3831,Intel Xeon E5-2648L @ 1.80GHz,"5,262",2047,NA,NA
3832,Intel Xeon E5-2648L v2 @ 1.90GHz,"8,828",1459,9.34,$945.00*
3833,Intel Xeon E5-2648L v3 @ 1.80GHz,"9,847",1368,16.40,$600.53*
3834,Intel Xeon E5-2648L v4 @ 1.80GHz,"11,839",1233,8.55,"$1,384.57*"
3835,Intel Xeon E5-2649 v3 @ 2.30GHz,"12,399",1204,NA,NA
3836,Intel Xeon E5-2650 @ 2.00GHz,"7,373",1629,143.18,$51.49
3837,Intel Xeon E5-2650 v2 @ 2.60GHz,"9,847",1367,75.78,$129.95
3838,Intel Xeon E5-2650 v3 @ 2.30GHz,"11,750",1241,6.22,"$1,889.00*"
3839,Intel Xeon E5-2650 v4 @ 2.20GHz,"13,341",1140,444.83,$29.99*
3840,Intel Xeon E5-2650L @ 1.80GHz,"6,192",1843,47.65,$129.95*
3841,Intel Xeon E5-2650L v2 @ 1.70GHz,"7,586",1596,194.51,$39.00*
3842,Intel Xeon E5-2650L v3 @ 1.80GHz,"11,865",1230,5.34,"$2,222.00*"
3843,Intel Xeon E5-2650L v4 @ 1.70GHz,"12,719",1185,55.31,$229.95*
3844,Intel Xeon E5-2651 v2 @ 1.80GHz,"9,551",1390,34.34,$278.10*
3845,Intel Xeon E5-2658 @ 2.10GHz,"6,073",1872,46.73,$129.95*
3846,Intel Xeon E5-2658 v2 @ 2.40GHz,"10,528",1317,76.30,$137.99
3847,Intel Xeon E5-2658 v3 @ 2.20GHz,"13,487",1131,NA,NA
3848,Intel Xeon E5-2658 v4 @ 2.30GHz,"14,434",1065,577.58,$24.99*
3849,Intel Xeon E5-2658A v3 @ 2.20GHz,"14,879",1035,8.12,"$1,832.00*"
3850,Intel Xeon E5-2660 @ 2.20GHz,"8,096",1533,426.12,$19.00
3851,Intel Xeon E5-2660 v2 @ 2.20GHz,"10,383",1326,79.90,$129.95*
3852,Intel Xeon E5-2660 v3 @ 2.60GHz,"13,055",1164,68.73,$189.95
3853,Intel Xeon E5-2660 v4 @ 2.00GHz,"15,705",997,320.52,$49.00*
3854,Intel Xeon E5-2663 v3 @ 2.80GHz,"11,777",1238,NA,NA
3855,Intel Xeon E5-2665 @ 2.40GHz,"8,258",1513,55.07,$149.95
3856,Intel Xeon E5-2666 v3 @ 2.90GHz,"14,061",1100,NA,NA
3857,Intel Xeon E5-2666 v4 @ 2.80GHz,"17,958",892,NA,NA
3858,Intel Xeon E5-2667 @ 2.90GHz,"7,442",1619,NA,NA
3859,Intel Xeon E5-2667 v2 @ 3.30GHz,"12,287",1213,49.34,$249.00
3860,Intel Xeon E5-2667 v3 @ 3.20GHz,"12,513",1197,41.86,$298.95*
3861,Intel Xeon E5-2667 v4 @ 3.20GHz,"13,782",1112,23.80,$579.00
3862,Intel Xeon E5-2669 v3 @ 2.30GHz,"16,107",986,NA,NA
3863,Intel Xeon E5-2670 @ 2.60GHz,"8,952",1449,NA,NA
3864,Intel Xeon E5-2670 v2 @ 2.50GHz,"11,387",1266,59.95,$189.95*
3865,Intel Xeon E5-2670 v3 @ 2.30GHz,"13,506",1128,110.69,$122.02
3866,Intel Xeon E5-2673 v2 @ 3.30GHz,"12,297",1211,NA,NA
3867,Intel Xeon E5-2673 v3 @ 2.40GHz,"14,218",1092,20.31,$700.00*
3868,Intel Xeon E5-2673 v4 @ 2.30GHz,"21,009",724,236.06,$89.00*
3869,Intel Xeon E5-2675 v3 @ 1.80GHz,"13,180",1155,NA,NA
3870,Intel Xeon E5-2676 v3 @ 2.40GHz,"13,400",1136,NA,NA
3871,Intel Xeon E5-2676 v4 @ 2.40GHz,"18,978",830,NA,NA
3872,Intel Xeon E5-2678 v3 @ 2.50GHz,"14,704",1047,138.47,$106.19*
3873,Intel Xeon E5-2679 v4 @ 2.50GHz,"24,131",588,8.93,"$2,702.00*"
3874,Intel Xeon E5-2680 @ 2.70GHz,"9,358",1412,2.55,"$3,668.00"
3875,Intel Xeon E5-2680 v2 @ 2.80GHz,"12,688",1186,60.71,$209.00*
3876,Intel Xeon E5-2680 v3 @ 2.50GHz,"14,915",1034,99.44,$150.00
3877,Intel Xeon E5-2680 v4 @ 2.40GHz,"17,422",921,82.20,$211.95
3878,Intel Xeon E5-2680R v4 @ 2.40GHz,"17,487",911,NA,NA
3879,Intel Xeon E5-2682 v4 @ 2.50GHz,"18,677",846,NA,NA
3880,Intel Xeon E5-2683 v3 @ 2.00GHz,"14,802",1041,77.92,$189.95
3881,Intel Xeon E5-2683 v4 @ 2.10GHz,"17,507",910,53.06,$329.95*
3882,Intel Xeon E5-2685 v3 @ 2.60GHz,"12,944",1172,NA,NA
3883,Intel Xeon E5-2686 v3 @ 2.00GHz,"18,148",881,NA,NA
3884,Intel Xeon E5-2686 v4 @ 2.30GHz,"19,871",785,NA,NA
3885,Intel Xeon E5-2687W @ 3.10GHz,"10,016",1352,47.70,$209.95
3886,Intel Xeon E5-2687W v2 @ 3.40GHz,"12,249",1216,NA,NA
3887,Intel Xeon E5-2687W v3 @ 3.10GHz,"14,708",1046,26.74,$549.95
3888,Intel Xeon E5-2687W v4 @ 3.00GHz,"17,730",903,24.64,$719.45*
3889,Intel Xeon E5-2689 @ 2.60GHz,"9,550",1391,52.26,$182.75*
3890,Intel Xeon E5-2689 v4 @ 3.10GHz,"17,084",939,NA,NA
3891,Intel Xeon E5-2690 @ 2.90GHz,"9,761",1377,NA,NA
3892,Intel Xeon E5-2690 v2 @ 3.00GHz,"13,410",1134,66.00,$203.19*
3893,Intel Xeon E5-2690 v3 @ 2.60GHz,"16,055",987,803.13,$19.99*
3894,Intel Xeon E5-2690 v4 @ 2.60GHz,"19,333",814,NA,NA
3895,Intel Xeon E5-2692 v2 @ 2.20GHz,"12,119",1221,NA,NA
3896,Intel Xeon E5-2695 v2 @ 2.40GHz,"13,325",1142,193.12,$69.00
3897,Intel Xeon E5-2695 v3 @ 2.30GHz,"16,713",953,47.75,$350.00
3898,Intel Xeon E5-2695 v4 @ 2.10GHz,"18,923",832,3.05,"$6,208.00*"
3899,Intel Xeon E5-2696 v2 @ 2.50GHz,"14,062",1099,NA,NA
3900,Intel Xeon E5-2696 v3 @ 2.30GHz,"21,545",703,39.39,$546.99*
3901,Intel Xeon E5-2696 v4 @ 2.20GHz,"24,917",558,84.47,$295.00
3902,Intel Xeon E5-2697 v2 @ 2.70GHz,"14,285",1080,73.85,$193.44
3903,Intel Xeon E5-2697 v3 @ 2.60GHz,"18,276",868,NA,NA
3904,Intel Xeon E5-2697 v4 @ 2.30GHz,"20,983",728,16.42,"$1,277.90"
3905,Intel Xeon E5-2697A v4 @ 2.60GHz,"21,611",698,NA,NA
3906,Intel Xeon E5-2697R v4 @ 2.30GHz,"20,843",735,NA,NA
3907,Intel Xeon E5-2698 v3 @ 2.30GHz,"18,867",836,2.15,"$8,790.00*"
3908,Intel Xeon E5-2698 v4 @ 2.20GHz,"22,553",651,24.82,$908.70*
3909,Intel Xeon E5-2698B v3 @ 2.00GHz,"16,287",973,NA,NA
3910,Intel Xeon E5-2698R v4 @ 2.20GHz,"25,605",537,NA,NA
3911,Intel Xeon E5-2699 v3 @ 2.30GHz,"20,016",782,37.77,$529.95
3912,Intel Xeon E5-2699 v4 @ 2.20GHz,"25,044",551,15.69,"$1,595.95"
3913,Intel Xeon E5-2699A v4 @ 2.40GHz,"26,884",498,5.44,"$4,938.00*"
3914,Intel Xeon E5-2699C v4 @ 2.20GHz,"21,275",711,NA,NA
3915,Intel Xeon E5-4603 @ 2.00GHz,"3,391",2513,7.55,$449.00*
3916,Intel Xeon E5-4607 v2 @ 2.60GHz,"6,986",1701,95.96,$72.80*
3917,Intel Xeon E5-4610 @ 2.40GHz,"6,460",1789,30.58,$211.23*
3918,Intel Xeon E5-4610 v3 @ 1.70GHz,"7,229",1659,5.93,"$1,219.00*"
3919,Intel Xeon E5-4617 @ 2.90GHz,"6,298",1826,175.52,$35.88*
3920,Intel Xeon E5-4620 @ 2.20GHz,"6,872",1714,116.93,$58.77
3921,Intel Xeon E5-4620 v2 @ 2.60GHz,"9,424",1403,103.56,$91.00*
3922,Intel Xeon E5-4620 v3 @ 2.00GHz,"10,525",1318,521.58,$20.18*
3923,Intel Xeon E5-4627 v2 @ 3.30GHz,"9,425",1402,18.89,$498.95*
3924,Intel Xeon E5-4627 v3 @ 2.60GHz,"11,344",1270,4.73,"$2,400.00*"
3925,Intel Xeon E5-4627 v4 @ 2.60GHz,"12,969",1171,12.97,$999.99*
3926,Intel Xeon E5-4628L v4 @ 1.80GHz,"11,503",1258,4.54,"$2,535.00*"
3927,Intel Xeon E5-4640 @ 2.40GHz,"7,012",1691,2.34,"$2,999.99*"
3928,Intel Xeon E5-4640 v3 @ 1.90GHz,"10,372",1327,NA,NA
3929,Intel Xeon E5-4648 v3 @ 1.70GHz,"9,061",1445,NA,NA
3930,Intel Xeon E5-4650 @ 2.70GHz,"8,407",1496,600.89,$13.99*
3931,Intel Xeon E5-4650 v2 @ 2.40GHz,"10,907",1297,43.64,$249.95*
3932,Intel Xeon E5-4650 v3 @ 2.10GHz,"10,838",1302,2.82,"$3,838.00*"
3933,Intel Xeon E5-4650 v4 @ 2.20GHz,"16,225",976,165.56,$98.00*
3934,Intel Xeon E5-4650L @ 2.60GHz,"8,533",1487,1.58,"$5,386.00"
3935,Intel Xeon E5-4655 v3 @ 2.90GHz,"9,377",1407,2.03,"$4,616.00*"
3936,Intel Xeon E5-4655 v4 @ 2.50GHz,"10,912",1295,2.36,"$4,616.00*"
3937,Intel Xeon E5-4657L v2 @ 2.40GHz,"11,613",1251,15.46,$751.19*
3938,Intel Xeon E5-4660 v3 @ 2.10GHz,"14,256",1083,2.97,"$4,800.00*"
3939,Intel Xeon E5-4660 v4 @ 2.20GHz,"15,375",1016,4.26,"$3,609.00*"
3940,Intel Xeon E5-4667 v3 @ 2.00GHz,"15,397",1013,2.69,"$5,729.00*"
3941,Intel Xeon E5-4667 v4 @ 2.20GHz,"20,319",764,3.55,"$5,729.00*"
3942,Intel Xeon E5-4669 v3 @ 2.10GHz,"17,430",920,3.23,"$5,400.00*"
3943,Intel Xeon E5-4669 v4 @ 2.20GHz,"11,523",1256,NA,NA
3944,Intel Xeon E5205 @ 1.86GHz,838,4208,58.75,$14.27*
3945,Intel Xeon E5240 @ 3.00GHz,"1,448",3617,16.32,$88.78*
3946,Intel Xeon E5310 @ 1.60GHz,"1,306",3725,26.65,$49.00*
3947,Intel Xeon E5320 @ 1.86GHz,"1,469",3606,37.91,$38.75*
3948,Intel Xeon E5335 @ 2.00GHz,"1,549",3546,87.15,$17.77*
3949,Intel Xeon E5345 @ 2.33GHz,"1,868",3324,124.61,$14.99*
3950,Intel Xeon E5405 @ 2.00GHz,"1,750",3409,16.66,$105.00*
3951,Intel Xeon E5410 @ 2.33GHz,"2,032",3216,190.06,$10.69*
3952,Intel Xeon E5420 @ 2.50GHz,"2,022",3225,8.09,$249.95*
3953,Intel Xeon E5430 @ 2.66GHz,"2,251",3086,9.79,$229.95*
3954,Intel Xeon E5440 @ 2.83GHz,"2,374",3010,62.49,$37.99*
3955,Intel Xeon E5450 @ 3.00GHz,"2,571",2894,69.49,$36.99*
3956,Intel Xeon E5462 @ 2.80GHz,"2,231",3103,9.87,$226.00*
3957,Intel Xeon E5472 @ 3.00GHz,"2,333",3035,116.40,$20.04*
3958,Intel Xeon E5502 @ 1.87GHz,837,4209,21.47,$39.00*
3959,Intel Xeon E5503 @ 2.00GHz,804,4239,6.28,$128.00*
3960,Intel Xeon E5504 @ 2.00GHz,"1,489",3594,51.34,$29.00*
3961,Intel Xeon E5506 @ 2.13GHz,"1,961",3261,22.13,$88.63*
3962,Intel Xeon E5507 @ 2.27GHz,"1,905",3301,19.05,$100.00*
3963,Intel Xeon E5520 @ 2.27GHz,"2,533",2916,93.85,$26.99*
3964,Intel Xeon E5530 @ 2.40GHz,"2,739",2799,91.33,$29.99*
3965,Intel Xeon E5540 @ 2.53GHz,"2,805",2770,31.55,$88.93*
3966,Intel Xeon E5603 @ 1.60GHz,"1,935",3276,21.74,$89.00*
3967,Intel Xeon E5606 @ 2.13GHz,"2,384",3000,29.80,$80.00*
3968,Intel Xeon E5607 @ 2.27GHz,"2,686",2828,95.98,$27.99*
3969,Intel Xeon E5620 @ 2.40GHz,"3,623",2433,120.76,$30.00
3970,Intel Xeon E5630 @ 2.53GHz,"3,809",2366,24.73,$154.00*
3971,Intel Xeon E5640 @ 2.67GHz,"3,837",2357,55.52,$69.10*
3972,Intel Xeon E5645 @ 2.40GHz,"4,972",2107,36.29,$137.00*
3973,Intel Xeon E5649 @ 2.53GHz,"5,659",1953,43.55,$129.95*
3974,Intel Xeon E7- 2830 @ 2.13GHz,"2,027",3221,1.14,"$1,779.00*"
3975,Intel Xeon E7-4809 v2 @ 1.90GHz,"16,471",961,NA,NA
3976,Intel Xeon E7-8880 v3 @ 2.30GHz,"18,244",873,137.17,$133.00*
3977,Intel Xeon E7-8891 v3 @ 2.80GHz,"21,615",697,3.16,"$6,841.00*"
3978,Intel Xeon E7320 @ 2.13GHz,"1,469",3605,NA,NA
3979,Intel Xeon Gold 5115 @ 2.40GHz,"14,875",1036,40.32,$368.91
3980,Intel Xeon Gold 5117 @ 2.00GHz,"16,487",959,NA,NA
3981,Intel Xeon Gold 5118 @ 2.30GHz,"16,694",954,37.19,$448.95*
3982,Intel Xeon Gold 5120 @ 2.20GHz,"18,237",876,11.68,"$1,561.00*"
3983,Intel Xeon Gold 5120T @ 2.20GHz,"18,127",882,10.50,"$1,727.00*"
3984,Intel Xeon Gold 5122 @ 3.60GHz,"8,883",1454,24.01,$370.00
3985,Intel Xeon Gold 5215 @ 2.20GHz,"16,304",971,11.45,"$1,424.00*"
3986,Intel Xeon Gold 5215 @ 2.50GHz,"15,719",996,15.74,$998.95
3987,Intel Xeon Gold 5217 @ 3.00GHz,"15,429",1011,11.88,"$1,298.95"
3988,Intel Xeon Gold 5218 @ 2.30GHz,"21,671",692,63.74,$340.00
3989,Intel Xeon Gold 5218R @ 2.10GHz,"24,742",566,32.11,$770.65
3990,Intel Xeon Gold 5218T @ 2.10GHz,"21,433",707,15.89,"$1,349.00*"
3991,Intel Xeon Gold 5220 @ 2.20GHz,"24,154",587,23.56,"$1,025.38*"
3992,Intel Xeon Gold 5220R @ 2.20GHz,"31,558",378,30.06,"$1,050.00"
3993,Intel Xeon Gold 5222 @ 3.80GHz,"9,483",1395,13.17,$720.24
3994,Intel Xeon Gold 5315Y @ 3.20GHz,"20,820",736,13.89,"$1,498.95"
3995,Intel Xeon Gold 5317 @ 3.00GHz,"27,448",485,24.18,"$1,135.00"
3996,Intel Xeon Gold 5318H @ 2.50GHz,"29,301",426,23.02,"$1,273.00*"
3997,Intel Xeon Gold 5318Y @ 2.10GHz,"33,139",348,22.11,"$1,498.95"
3998,Intel Xeon Gold 5320 @ 2.20GHz,"37,558",293,26.86,"$1,398.50"
3999,Intel Xeon Gold 5320H @ 2.40GHz,"31,718",374,20.40,"$1,555.00*"
4000,Intel Xeon Gold 5412U,"52,218",172,46.92,"$1,113.00*"
4001,Intel Xeon Gold 5415+,"24,969",555,23.42,"$1,066.00*"
4002,Intel Xeon Gold 5416S,"35,814",312,37.94,$944.00*
4003,Intel Xeon Gold 5418Y,"46,841",206,31.59,"$1,483.00*"
4004,Intel Xeon Gold 5420+,"58,209",132,31.50,"$1,848.00*"
4005,Intel Xeon Gold 5512U,"60,337",114,49.05,"$1,230.00*"
4006,Intel Xeon Gold 5515+,"26,501",509,24.11,"$1,099.00*"
4007,Intel Xeon Gold 5520+,"61,227",107,33.10,"$1,849.99*"
4008,Intel Xeon Gold 6122 @ 1.80GHz,"23,781",599,11.88,"$2,002.00*"
4009,Intel Xeon Gold 6126 @ 2.60GHz,"19,811",787,134.77,$147.00
4010,Intel Xeon Gold 6128 @ 3.40GHz,"12,811",1178,55.63,$230.29
4011,Intel Xeon Gold 6130 @ 2.10GHz,"21,170",717,22.31,$949.00*
4012,Intel Xeon Gold 6130T @ 2.10GHz,"21,804",688,8.55,"$2,550.00*"
4013,Intel Xeon Gold 6132 @ 2.60GHz,"22,429",657,345.06,$65.00
4014,Intel Xeon Gold 6134 @ 3.20GHz,"16,512",957,36.78,$449.00
4015,Intel Xeon Gold 6136 @ 3.00GHz,"20,977",729,26.26,$798.94*
4016,Intel Xeon Gold 6137 @ 3.90GHz,"19,365",812,NA,NA
4017,Intel Xeon Gold 6138 @ 2.00GHz,"24,013",593,111.38,$215.60
4018,Intel Xeon Gold 6138T @ 2.00GHz,"20,356",760,2.75,"$7,401.00*"
4019,Intel Xeon Gold 6140 @ 2.30GHz,"24,690",567,57.91,$426.34
4020,Intel Xeon Gold 6142 @ 2.60GHz,"25,490",539,62.68,$406.69
4021,Intel Xeon Gold 6143 @ 2.80GHz,"24,786",564,NA,NA
4022,Intel Xeon Gold 6144 @ 3.50GHz,"19,146",819,32.35,$591.86
4023,Intel Xeon Gold 6146 @ 3.20GHz,"23,296",619,29.71,$784.00
4024,Intel Xeon Gold 6148 @ 2.40GHz,"29,116",435,100.40,$290.00
4025,Intel Xeon Gold 6150 @ 2.70GHz,"26,695",504,136.20,$196.00
4026,Intel Xeon Gold 6152 @ 2.10GHz,"24,287",581,40.40,$601.15
4027,Intel Xeon Gold 6154 @ 3.00GHz,"27,560",482,50.66,$543.97
4028,Intel Xeon Gold 6208U @ 2.90GHz,"24,670",569,25.97,$950.00
4029,Intel Xeon Gold 6210U @ 2.50GHz,"29,344",425,27.44,"$1,069.43"
4030,Intel Xeon Gold 6212U @ 2.40GHz,"27,470",484,7.07,"$3,882.70*"
4031,Intel Xeon Gold 6222V @ 1.80GHz,"24,254",584,14.18,"$1,710.89*"
4032,Intel Xeon Gold 6226 @ 2.70GHz,"20,429",757,26.53,$769.95
4033,Intel Xeon Gold 6226R @ 2.90GHz,"26,405",515,33.01,$800.00
4034,Intel Xeon Gold 6230 @ 2.10GHz,"26,076",519,101.68,$256.45
4035,Intel Xeon Gold 6230R @ 2.10GHz,"33,608",341,48.01,$700.00
4036,Intel Xeon Gold 6234 @ 3.30GHz,"17,752",900,19.09,$929.95
4037,Intel Xeon Gold 6238 @ 2.10GHz,"29,118",434,40.43,$720.29
4038,Intel Xeon Gold 6238R @ 2.20GHz,"34,751",318,26.13,"$1,330.00"
4039,Intel Xeon Gold 6240 @ 2.60GHz,"24,677",568,49.85,$495.00
4040,Intel Xeon Gold 6240R @ 2.40GHz,"33,353",344,23.00,"$1,450.00"
4041,Intel Xeon Gold 6242 @ 2.80GHz,"24,994",554,45.44,$550.00
4042,Intel Xeon Gold 6242R @ 3.10GHz,"34,292",328,27.43,"$1,250.00"
4043,Intel Xeon Gold 6244 @ 3.60GHz,"18,657",847,6.28,"$2,970.00*"
4044,Intel Xeon Gold 6246 @ 3.30GHz,"22,571",650,7.25,"$3,113.22*"
4045,Intel Xeon Gold 6246R @ 3.40GHz,"30,468",397,19.32,"$1,577.00"
4046,Intel Xeon Gold 6248 @ 2.50GHz,"29,552",420,166.82,$177.15
4047,Intel Xeon Gold 6248R @ 3.00GHz,"35,434",313,22.15,"$1,600.00"
4048,Intel Xeon Gold 6250 @ 3.90GHz,"20,552",748,7.00,"$2,934.69"
4049,Intel Xeon Gold 6252 @ 2.10GHz,"27,148",491,26.97,"$1,006.40"
4050,Intel Xeon Gold 6253CL @ 3.10GHz,"28,549",447,NA,NA
4051,Intel Xeon Gold 6254 @ 3.10GHz,"32,494",359,29.57,"$1,098.95"
4052,Intel Xeon Gold 6256 @ 3.60GHz,"23,287",620,7.06,"$3,298.95*"
4053,Intel Xeon Gold 6258R @ 2.70GHz,"40,252",270,15.49,"$2,598.95"
4054,Intel Xeon Gold 6262 @ 1.90GHz,"21,823",686,NA,NA
4055,Intel Xeon Gold 6266C @ 3.00GHz,"29,049",436,NA,NA
4056,Intel Xeon Gold 6268CL @ 2.80GHz,"34,558",322,NA,NA
4057,Intel Xeon Gold 6278C @ 2.60GHz,"32,835",352,NA,NA
4058,Intel Xeon Gold 6312U @ 2.40GHz,"42,443",249,23.45,"$1,809.59*"
4059,Intel Xeon Gold 6314U @ 2.30GHz,"48,648",195,17.49,"$2,782.00*"
4060,Intel Xeon Gold 6326 @ 2.90GHz,"34,240",329,18.03,"$1,898.95"
4061,Intel Xeon Gold 6330 @ 2.00GHz,"43,056",245,33.90,"$1,270.00"
4062,Intel Xeon Gold 6330N @ 2.20GHz,"36,360",305,18.98,"$1,915.84"
4063,Intel Xeon Gold 6334 @ 3.60GHz,"20,512",752,11.18,"$1,834.55"
4064,Intel Xeon Gold 6336Y @ 2.40GHz,"45,517",226,22.76,"$2,000.00"
4065,Intel Xeon Gold 6338 @ 2.00GHz,"38,520",282,24.23,"$1,590.00"
4066,Intel Xeon Gold 6338N @ 2.20GHz,"42,086",250,9.01,"$4,671.69*"
4067,Intel Xeon Gold 6342 @ 2.80GHz,"47,076",204,16.26,"$2,895.95*"
4068,Intel Xeon Gold 6346 @ 3.10GHz,"37,665",292,19.82,"$1,900.00"
4069,Intel Xeon Gold 6348 @ 2.60GHz,"51,843",173,24.72,"$2,097.00"
4070,Intel Xeon Gold 6354 @ 3.00GHz,"39,880",273,14.78,"$2,698.95"
4071,Intel Xeon Gold 6414U,"57,200",144,24.91,"$2,296.00*"
4072,Intel Xeon Gold 6416H,"40,606",265,28.12,"$1,444.00*"
4073,Intel Xeon Gold 6421N,"58,797",126,24.83,"$2,368.00*"
4074,Intel Xeon Gold 6423N,"57,434",139,26.58,"$2,161.00*"
4075,Intel Xeon Gold 6426Y,"38,373",285,25.29,"$1,517.00*"
4076,Intel Xeon Gold 6434,"28,111",460,11.91,"$2,359.45"
4077,Intel Xeon Gold 6438N,"52,789",166,15.75,"$3,351.00*"
4078,Intel Xeon Gold 6442Y,"58,534",131,20.34,"$2,878.00*"
4079,Intel Xeon Gold 6444Y,"47,176",203,13.02,"$3,622.00*"
4080,Intel Xeon Gold 6448Y,"60,449",112,16.87,"$3,583.00*"
4081,Intel Xeon Gold 6450C,"38,571",281,NA,NA
4082,Intel Xeon Gold 6526Y,"45,715",223,30.14,"$1,517.00*"
4083,Intel Xeon Gold 6530,"65,533",90,30.80,"$2,128.00*"
4084,Intel Xeon Gold 6534,"29,494",422,NA,NA
4085,Intel Xeon Gold 6538N,"44,895",232,13.40,"$3,351.00*"
4086,Intel Xeon Gold 6542Y,"59,047",121,20.52,"$2,878.00*"
4087,Intel Xeon Gold 6544Y,"50,319",183,13.89,"$3,622.00*"
4088,Intel Xeon Gold 6548Y+,"70,439",71,18.90,"$3,726.00*"
4089,Intel Xeon Gold 6554S,"50,777",179,15.04,"$3,375.44"
4090,Intel Xeon L3110 @ 3.00GHz,"1,338",3697,NA,NA
4091,Intel Xeon L3360 @ 2.83GHz,"2,412",2988,27.03,$89.23*
4092,Intel Xeon L3406 @ 2.27GHz,"1,104",3918,4.28,$257.88*
4093,Intel Xeon L3426 @ 1.87GHz,"2,470",2944,NA,NA
4094,Intel Xeon L5240 @ 3.00GHz,"1,337",3698,42.57,$31.40*
4095,Intel Xeon L5310 @ 1.60GHz,"1,385",3668,12.31,$112.50*
4096,Intel Xeon L5320 @ 1.86GHz,"1,118",3904,15.97,$69.99*
4097,Intel Xeon L5335 @ 2.00GHz,"1,737",3417,92.43,$18.79*
4098,Intel Xeon L5408 @ 2.13GHz,"1,769",3401,NA,NA
4099,Intel Xeon L5410 @ 2.33GHz,"1,853",3332,18.52,$100.08*
4100,Intel Xeon L5420 @ 2.50GHz,"2,143",3151,77.91,$27.50*
4101,Intel Xeon L5430 @ 2.66GHz,"2,260",3078,10.32,$219.00*
4102,Intel Xeon L5520 @ 2.27GHz,"2,274",3068,78.43,$29.00*
4103,Intel Xeon L5530 @ 2.40GHz,"2,522",2922,40.68,$62.00*
4104,Intel Xeon L5609 @ 1.87GHz,"3,298",2557,NA,NA
4105,Intel Xeon L5630 @ 2.13GHz,"3,048",2664,27.15,$112.26*
4106,Intel Xeon L5638 @ 2.00GHz,"3,707",2403,53.03,$69.90*
4107,Intel Xeon L5639 @ 2.13GHz,"4,419",2209,NA,NA
4108,Intel Xeon L5640 @ 2.27GHz,"4,645",2160,51.64,$89.95*
4109,Intel Xeon L7455 @ 2.13GHz,"2,494",2938,NA,NA
4110,Intel Xeon Max 9480,"84,512",40,91.82,$920.40*
4111,Intel Xeon MV 3.20GHz,756,4301,NA,NA
4112,Intel Xeon Phi 7210 @ 1.30GHz,"7,306",1639,3.88,"$1,881.00*"
4113,Intel Xeon Phi 7290 @ 1.50GHz,"17,839",895,5.55,"$3,213.00*"
4114,Intel Xeon Platinum 8124M @ 3.00GHz,"25,350",542,NA,NA
4115,Intel Xeon Platinum 8151 @ 3.40GHz,"16,208",978,NA,NA
4116,Intel Xeon Platinum 8160 @ 2.10GHz,"28,825",441,24.43,"$1,179.91"
4117,Intel Xeon Platinum 8167M @ 2.00GHz,"25,396",540,NA,NA
